id,title,url,chunk_index,content
0,Associate of Science in Instructional Design and Technology – Faculty of Education,https://fed.upou.edu.ph/undergraduate/associate-of-science-in-instructional-design-and-technology/,0,"The ASIDT Program can be “ladderized” towards baccalaureate programs such as the two existing programs in the UPOU – Bachelor of Education Studies (BES) and Bachelor of Multimedia Studies (BAMS). Objectives
The program aims to:
Exhibit knowledge and skills that are mainly theoretical and/or abstract with significant depth in some areas together with wide-ranging, specialized technical, creative, and conceptual skills
Perform work activities demonstrating breadth, depth, and complexity in the planning and initiation of alternative approaches to skills and knowledge applications across a broad range of technical and/or management requirements, evaluation, and coordination
Demonstrate personal and professional ethical responsibility and inclusive citizenship
Demonstrate effective communication skills
Integrate different knowledge domains to form multifaceted interpretations of social and living systems. Evaluate information in the context of digital or networked problem domains
Generate creative and appropriate solutions through effective and respectful collaboration with diverse groups
In addition, graduates of the ASIDT  program should be able to:
Apply knowledge of instructional theories and concepts when providing solutions to authentic and non-authentic instructional design problems
Analyze the characteristics and appropriateness of use of the existing and emerging technologies in designing instructional environments and materials
Integrate the contexts for learning and users’ needs in designing learning spaces and instructional materials
Collaborate with team members and stakeholders
Create text and multimedia instructional materials based on learning experience design
Mode of Instruction
All courses are taught online following the principles of guided independent study and collaborative inquiry. Admission Requirements
The following applicants can apply to the program:
1."
1,Associate of Science in Instructional Design and Technology – Faculty of Education,https://fed.upou.edu.ph/undergraduate/associate-of-science-in-instructional-design-and-technology/,1,"Graduates of other undergraduate degrees. Admission is through UgAT but passers of UPCAT, applicants who meet the transfer requirements, and degree holders may no longer be required to take the UgAT. have submitted the complete documentary requirements for admission before the application deadline;
2."
2,Associate of Science in Instructional Design and Technology – Faculty of Education,https://fed.upou.edu.ph/undergraduate/associate-of-science-in-instructional-design-and-technology/,2,"Details about the exam will be emailed by the Admission section of the Office of the University  Registrar;
3. Link to the DERM will be emailed by the Admission; and have submitted an admission essay
Curriculum
The curriculum of ASIDT program consists of 72 units of academic courses, (8) units of PE and (6) units of NSTP:
Required GE courses – 21 units
Elective GE courses- 9 units
Common courses – 12 units
Mandated course – 3 units
Concentration courses – 27 units
PE courses – (8) units
NSTP courses – (6) units
Required GE Courses (21 units)
KAS 1
Kasaysayan ng Pilipinas
Ang pampulitika, pang-ekonomya, panlipunan, at pangkalinangang pagsulong ng Pilipinas. 3 units (prescribed)
WIKA 1
Wika, Kultura at Lipunan
Pagsusuri sa ugnayan ng wika, kultura, at lipunan. 3 units
ETHICS 1
Ethics and Moral Reasoning in Everyday Life
The nature and development, sources and frameworks of ethics and moral reasoning and their application to various issues and contexts. 3 units
ARTS 1
Critical Perspectives in the Arts
A critical study of the experience, language, and context of art. 3 units
SCIENCE 11
Living Systems: Concepts and Dynamics
Principles, interactions, and contemporary issues concerning living systems. 3 units
STS 1
Science, Technology and Society
Analyses of the past, present and future of science and technology in society (including their nature, scope, role and function) and the social, cultural, political, economic and environmental factors affecting the development of science and technology, with emphasis on the Philippine setting. 3 units
MATH 10
Mathematics, Culture and Society
Appreciation of the beauty and power of mathematics through the examination of its nature, development, utility, and relationship with culture and society. 3 units
Elective GE courses (choose 3 courses only)
SAS 1
Self and Society
Understanding the self by examining the interaction of biological, psychological, and socio-cultural dimensions and
appreciating human agency and the emergence of the self in different social contexts. 3 units
COMM 10
Critical Perspectives in Communication
Theories and frameworks of communication in various contexts. 3 units
PHILARTS 1
Philippine Arts and Culture
Approaches to Philippine Arts and Culture
3 units
SOC SCI 2
Social, Political, and Economic Thought
A survey of social, economic, and political thought from classical to contemporary times. 3 units
ENG 11
Literature and Society
The study of various literary genres as a dynamic interaction between the individual and social and cultural forces. 3 units
Common Courses (12 units)
COMM 2
Communication Skills 2
The development of more advanced language skills in critical thinking and effective reading and writing. 3 units
ENG 157
English for the Professions
Theory and practice of writing in the professions. 3 units
COMP ED 10
Critical Digital Literacies
Understanding, using, and producing digital content, products, and services. 3 units
COMP ED 20
Introduction to Analytics
Fundamental concepts and principles in analytics and its techniques and applications. 3 units
Mandated course (3 units)
PI 100
Philippine Institutions 100
The Life and Works of Jose Rizal and other Philippine Institutions
3 units
Concentration Courses (27 units)
IDT 101
Foundations of Instructional Design and Technology
Introduction to Instructional Design concepts, strategies and methodologies, learning space and environment, technologies used for teaching, and effective use and application of technology to support learning. 3 units
IDT 102
Psychology of Instructional Design & Technology
The course delves into the human perspective and the human factors that go with it as applied to the practice of instructional design and technology."
3,Associate of Science in Instructional Design and Technology – Faculty of Education,https://fed.upou.edu.ph/undergraduate/associate-of-science-in-instructional-design-and-technology/#content,0,"The ASIDT Program can be “ladderized” towards baccalaureate programs such as the two existing programs in the UPOU – Bachelor of Education Studies (BES) and Bachelor of Multimedia Studies (BAMS). Objectives
The program aims to:
Exhibit knowledge and skills that are mainly theoretical and/or abstract with significant depth in some areas together with wide-ranging, specialized technical, creative, and conceptual skills
Perform work activities demonstrating breadth, depth, and complexity in the planning and initiation of alternative approaches to skills and knowledge applications across a broad range of technical and/or management requirements, evaluation, and coordination
Demonstrate personal and professional ethical responsibility and inclusive citizenship
Demonstrate effective communication skills
Integrate different knowledge domains to form multifaceted interpretations of social and living systems. Evaluate information in the context of digital or networked problem domains
Generate creative and appropriate solutions through effective and respectful collaboration with diverse groups
In addition, graduates of the ASIDT  program should be able to:
Apply knowledge of instructional theories and concepts when providing solutions to authentic and non-authentic instructional design problems
Analyze the characteristics and appropriateness of use of the existing and emerging technologies in designing instructional environments and materials
Integrate the contexts for learning and users’ needs in designing learning spaces and instructional materials
Collaborate with team members and stakeholders
Create text and multimedia instructional materials based on learning experience design
Mode of Instruction
All courses are taught online following the principles of guided independent study and collaborative inquiry. Admission Requirements
The following applicants can apply to the program:
1."
4,Associate of Science in Instructional Design and Technology – Faculty of Education,https://fed.upou.edu.ph/undergraduate/associate-of-science-in-instructional-design-and-technology/#content,1,"Graduates of other undergraduate degrees. Admission is through UgAT but passers of UPCAT, applicants who meet the transfer requirements, and degree holders may no longer be required to take the UgAT. have submitted the complete documentary requirements for admission before the application deadline;
2."
5,Associate of Science in Instructional Design and Technology – Faculty of Education,https://fed.upou.edu.ph/undergraduate/associate-of-science-in-instructional-design-and-technology/#content,2,"Details about the exam will be emailed by the Admission section of the Office of the University  Registrar;
3. Link to the DERM will be emailed by the Admission; and have submitted an admission essay
Curriculum
The curriculum of ASIDT program consists of 72 units of academic courses, (8) units of PE and (6) units of NSTP:
Required GE courses – 21 units
Elective GE courses- 9 units
Common courses – 12 units
Mandated course – 3 units
Concentration courses – 27 units
PE courses – (8) units
NSTP courses – (6) units
Required GE Courses (21 units)
KAS 1
Kasaysayan ng Pilipinas
Ang pampulitika, pang-ekonomya, panlipunan, at pangkalinangang pagsulong ng Pilipinas. 3 units (prescribed)
WIKA 1
Wika, Kultura at Lipunan
Pagsusuri sa ugnayan ng wika, kultura, at lipunan. 3 units
ETHICS 1
Ethics and Moral Reasoning in Everyday Life
The nature and development, sources and frameworks of ethics and moral reasoning and their application to various issues and contexts. 3 units
ARTS 1
Critical Perspectives in the Arts
A critical study of the experience, language, and context of art. 3 units
SCIENCE 11
Living Systems: Concepts and Dynamics
Principles, interactions, and contemporary issues concerning living systems. 3 units
STS 1
Science, Technology and Society
Analyses of the past, present and future of science and technology in society (including their nature, scope, role and function) and the social, cultural, political, economic and environmental factors affecting the development of science and technology, with emphasis on the Philippine setting. 3 units
MATH 10
Mathematics, Culture and Society
Appreciation of the beauty and power of mathematics through the examination of its nature, development, utility, and relationship with culture and society. 3 units
Elective GE courses (choose 3 courses only)
SAS 1
Self and Society
Understanding the self by examining the interaction of biological, psychological, and socio-cultural dimensions and
appreciating human agency and the emergence of the self in different social contexts. 3 units
COMM 10
Critical Perspectives in Communication
Theories and frameworks of communication in various contexts. 3 units
PHILARTS 1
Philippine Arts and Culture
Approaches to Philippine Arts and Culture
3 units
SOC SCI 2
Social, Political, and Economic Thought
A survey of social, economic, and political thought from classical to contemporary times. 3 units
ENG 11
Literature and Society
The study of various literary genres as a dynamic interaction between the individual and social and cultural forces. 3 units
Common Courses (12 units)
COMM 2
Communication Skills 2
The development of more advanced language skills in critical thinking and effective reading and writing. 3 units
ENG 157
English for the Professions
Theory and practice of writing in the professions. 3 units
COMP ED 10
Critical Digital Literacies
Understanding, using, and producing digital content, products, and services. 3 units
COMP ED 20
Introduction to Analytics
Fundamental concepts and principles in analytics and its techniques and applications. 3 units
Mandated course (3 units)
PI 100
Philippine Institutions 100
The Life and Works of Jose Rizal and other Philippine Institutions
3 units
Concentration Courses (27 units)
IDT 101
Foundations of Instructional Design and Technology
Introduction to Instructional Design concepts, strategies and methodologies, learning space and environment, technologies used for teaching, and effective use and application of technology to support learning. 3 units
IDT 102
Psychology of Instructional Design & Technology
The course delves into the human perspective and the human factors that go with it as applied to the practice of instructional design and technology."
6,Faculty of Education – University of the Philippines Open University,https://fed.upou.edu.ph,0,"Faculty of Education – University of the Philippines Open University
Skip to content
Loading... Home
superadmin
2022-02-10T14:06:11+08:00
Articles
superadmin
2025-07-14T23:26:24+08:00
Going Beyond Gaming with UPOU Esports
superadmin
2025-07-14T23:26:24+08:00
July 14th, 2025
|
superadmin
2024-04-02T14:49:00+08:00
MALLE Alumna and Faculty Participate in ARWA 2024
superadmin
2024-04-02T14:49:00+08:00
April 2nd, 2024
|
superadmin
2023-12-01T13:44:10+08:00
UPOU FEd Phd Students participate in the 12th DOST-SEI Scholars Leadership Camp
superadmin
2023-12-01T13:44:10+08:00
December 1st, 2023
|
superadmin
2023-09-29T17:43:33+08:00
UPOU FEd, RAFI-DACF and UPOUFI conducts virtual closing ceremony for the free online course on Foundations of Early Childhood and Development
superadmin
2023-09-29T17:43:33+08:00
September 29th, 2023
|
1
2
Next
Load More Posts
News
superadmin
2026-03-12T08:46:46+08:00
FEd celebrates UPOU 31st Anniversary with EduPerya
superadmin
2026-03-12T08:46:46+08:00
March 11th, 2026
|
superadmin
2026-02-03T14:50:44+08:00
FEd reaps success with Outstanding Class of 2025 Graduates
superadmin
2026-02-03T14:50:44+08:00
January 7th, 2026
|
superadmin
2025-11-06T11:24:22+08:00
Official Signing: UPOU FEd and JFM Enter into Partnership Promising Quality and Accessible Instruction in Japanese Language Teaching
superadmin
2025-11-06T11:24:22+08:00
November 6th, 2025
|
superadmin
2025-06-26T13:34:31+08:00
M-CTRAS Conference 2025 Kicks Off at Johannes Kepler University Linz, Austria
superadmin
2025-06-26T13:34:31+08:00
June 23rd, 2025
|
1
2
Next
Load More Posts
Announcements
superadmin
2025-08-19T19:04:11+08:00
Call for Scholarship Applications for First Semester AY2025-2026: DOST-SEI CBPSME
superadmin
2025-08-19T19:04:11+08:00
August 19th, 2025
|
superadmin
2025-02-15T14:02:49+08:00
Call for Scholarship Applications for Second Semester AY2024-2025: DOST-SEI CBPSME
superadmin
2025-02-15T14:02:49+08:00
January 26th, 2025
|
superadmin
2024-09-12T08:24:19+08:00
Call for Volunteer Leaders (Peer Empowerment Program)
superadmin
2024-09-12T08:24:19+08:00
September 11th, 2024
|
superadmin
2024-05-29T15:10:14+08:00
Call for Scholarship Applications for First Semester AY2024-2025: DOST-SEI CBPSME
superadmin
2024-05-29T15:10:14+08:00
May 29th, 2024
|
1
2
Next
Load More Posts
Toggle Sliding Bar Area"
7,superadmin – Faculty of Education,https://fed.upou.edu.ph/author/superadmin/,0,"superadmin – Faculty of Education
Skip to content
superadmin
Home
/
superadmin
About
superadmin
This author has not yet filled in any details."
8,superadmin – Faculty of Education,https://fed.upou.edu.ph/author/superadmin/,1,"So far superadmin has created 157 blog entries. FEd celebrates UPOU 31st Anniversary with EduPerya
Gallery
FEd celebrates UPOU 31st Anniversary with EduPerya
superadmin
2026-03-12T08:46:46+08:00
FEd celebrates UPOU 31st Anniversary with EduPerya
superadmin
2026-03-12T08:46:46+08:00
UPOU FEd Holds Student Orientation for Second Semester and Trimester this Academic Year 2025-2026
Gallery
UPOU FEd Holds Student Orientation for Second Semester and Trimester this Academic Year 2025-2026
superadmin
2026-01-27T08:18:40+08:00
UPOU FEd Holds Student Orientation for Second Semester and Trimester this Academic Year 2025-2026
superadmin
2026-01-27T08:18:40+08:00
FEd reaps success with Outstanding Class of 2025 Graduates
Gallery
FEd reaps success with Outstanding Class of 2025 Graduates
superadmin
2026-02-03T14:50:44+08:00
FEd reaps success with Outstanding Class of 2025 Graduates
superadmin
2026-02-03T14:50:44+08:00
Official Signing: UPOU FEd and JFM Enter into Partnership Promising Quality and Accessible Instruction in Japanese Language Teaching
Gallery
Official Signing: UPOU FEd and JFM Enter into Partnership Promising Quality and Accessible Instruction in Japanese Language Teaching
superadmin
2025-11-06T11:24:22+08:00
Official Signing: UPOU FEd and JFM Enter into Partnership Promising Quality and Accessible Instruction in Japanese Language Teaching
superadmin
2025-11-06T11:24:22+08:00
Call for Scholarship Applications for First Semester AY2025-2026: DOST-SEI CBPSME
Gallery
Call for Scholarship Applications for First Semester AY2025-2026: DOST-SEI CBPSME
superadmin
2025-08-19T19:04:11+08:00
Call for Scholarship Applications for First Semester AY2025-2026: DOST-SEI CBPSME
superadmin
2025-08-19T19:04:11+08:00
Going Beyond Gaming with UPOU Esports
Gallery
Going Beyond Gaming with UPOU Esports
superadmin
2025-07-14T23:26:24+08:00
Going Beyond Gaming with UPOU Esports
superadmin
2025-07-14T23:26:24+08:00
M-CTRAS Conference 2025 Kicks Off at Johannes Kepler University Linz, Austria
Gallery
M-CTRAS Conference 2025 Kicks Off at Johannes Kepler University Linz, Austria
superadmin
2025-06-26T13:34:31+08:00
M-CTRAS Conference 2025 Kicks Off at Johannes Kepler University Linz, Austria
superadmin
2025-06-26T13:34:31+08:00
Call for Scholarship Applications for Second Semester AY2024-2025: DOST-SEI CBPSME
Gallery
Call for Scholarship Applications for Second Semester AY2024-2025: DOST-SEI CBPSME
superadmin
2025-02-15T14:02:49+08:00
Call for Scholarship Applications for Second Semester AY2024-2025: DOST-SEI CBPSME
superadmin
2025-02-15T14:02:49+08:00
FEd Recognition Rites and Fellowship 2024: Celebrating Excellence and Achievement
Gallery
FEd Recognition Rites and Fellowship 2024: Celebrating Excellence and Achievement
superadmin
2024-12-19T08:31:13+08:00
FEd Recognition Rites and Fellowship 2024: Celebrating Excellence and Achievement
superadmin
2024-12-19T08:31:13+08:00
UPOU FEd to Launch PAGTULAY Program
Gallery
UPOU FEd to Launch PAGTULAY Program
superadmin
2024-10-17T13:34:03+08:00
UPOU FEd to Launch PAGTULAY Program
superadmin
2024-10-17T13:34:03+08:00
Load More Posts
1
2
Next
Search for:
Research Conversation Series: “Why Learn About Rasch Measurement?” by Dr."
9,Associate of Science in Instructional Design and Technology – Faculty of Education,https://fed.upou.edu.ph/undergraduate/associate-of-science-in-instructional-design-and-technology/#,0,"The ASIDT Program can be “ladderized” towards baccalaureate programs such as the two existing programs in the UPOU – Bachelor of Education Studies (BES) and Bachelor of Multimedia Studies (BAMS). Objectives
The program aims to:
Exhibit knowledge and skills that are mainly theoretical and/or abstract with significant depth in some areas together with wide-ranging, specialized technical, creative, and conceptual skills
Perform work activities demonstrating breadth, depth, and complexity in the planning and initiation of alternative approaches to skills and knowledge applications across a broad range of technical and/or management requirements, evaluation, and coordination
Demonstrate personal and professional ethical responsibility and inclusive citizenship
Demonstrate effective communication skills
Integrate different knowledge domains to form multifaceted interpretations of social and living systems. Evaluate information in the context of digital or networked problem domains
Generate creative and appropriate solutions through effective and respectful collaboration with diverse groups
In addition, graduates of the ASIDT  program should be able to:
Apply knowledge of instructional theories and concepts when providing solutions to authentic and non-authentic instructional design problems
Analyze the characteristics and appropriateness of use of the existing and emerging technologies in designing instructional environments and materials
Integrate the contexts for learning and users’ needs in designing learning spaces and instructional materials
Collaborate with team members and stakeholders
Create text and multimedia instructional materials based on learning experience design
Mode of Instruction
All courses are taught online following the principles of guided independent study and collaborative inquiry. Admission Requirements
The following applicants can apply to the program:
1."
